   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151312
1 Art OK : 20230209_151312
1 Art OK : 20230209_151313
1 Art OK : 20230209_151313
1 Art OK : 20230209_151313
1 Art OK : 20230209_151314
1 Art OK : 20230209_151314
1 Art OK : 20230209_151314
1 Art OK : 20230209_151315
1 Art OK : 20230209_151315
1 Art OK : 20230209_151315
1 Art OK : 20230209_151316
1 Art OK : 20230209_151316
1 Art OK : 20230209_151316
1 Art OK : 20230209_151316
1 Art OK : 20230209_151317
1 Art OK : 20230209_151317
1 Art OK : 20230209_151317
1 Art OK : 20230209_151318
1 Art OK : 20230209_151318
1 Art OK : 20230209_151318
1 Art OK : 20230209_151319
1 Art OK : 20230209_151319
1 Art OK : 20230209_151319
1 Art OK : 20230209_151320
1 Art OK : 20230209_151320
1 Art OK : 20230209_151321
1 Art OK : 20230209_151321
1 Art OK : 20230209_151321
1 Art OK : 20230209_151322
1 Art OK : 20230209_151322
1 Art OK : 20230209_151322
1 Art OK : 20230209_151323
1 Art OK : 20230209_151323
1 Art OK : 20230209_151324
1 Art OK : 20230209_151324
1 Art OK : 20230209_151324
1 Art OK : 20230209_151325
1 Art OK : 20230209_151325
1 Art OK : 20230209_151325
1 Art OK : 20230209_151326
1 Art OK : 20230209_151326
1 Art OK : 20230209_151327
1 Art OK : 20230209_151327
1 Art OK : 20230209_151327
1 Art OK : 20230209_151328
1 Art OK : 20230209_151328
1 Art OK : 20230209_151329
1 Art OK : 20230209_151329
1 Art OK : 20230209_151329
1 Art OK : 20230209_151330
1 Art OK : 20230209_151330
1 Art OK : 20230209_151330
1 Art OK : 20230209_151331
1 Art OK : 20230209_151331
1 Art OK : 20230209_151332
1 Art OK : 20230209_151332
1 Art OK : 20230209_151332
1 Art OK : 20230209_151333
1 Art OK : 20230209_151333
1 Art OK : 20230209_151333
1 Art OK : 20230209_151334
1 Art OK : 20230209_151334
